id,"way","created_at","updated_at"
1,"らくらくメルカリ便","2019-05-30 16:30:40","2019-05-30 16:30:40"
2,"ゆうゆうメルカリ便","2019-05-30 16:30:40","2019-05-30 16:30:40"
3,"大型らくらくメルカリ便","2019-05-30 16:30:40","2019-05-30 16:30:40"
4,"ゆうメール","2019-05-30 16:30:40","2019-05-30 16:30:40"
5,"レターパック","2019-05-30 16:30:40","2019-05-30 16:30:40"
6,"普通郵便（定形・定形外）","2019-05-30 16:30:40","2019-05-30 16:30:40"
7,"ゆうパック","2019-05-30 16:30:40","2019-05-30 16:30:40"
8,"クリックポスト","2019-05-30 16:30:40","2019-05-30 16:30:40"
9,"ゆうパケット","2019-05-30 16:30:40","2019-05-30 16:30:40"
10,"クロネコヤマト","2019-05-30 16:30:40","2019-05-30 16:30:40"
11,"未定","2019-05-30 16:30:40","2019-05-30 16:30:40"
