id,"first_category","created_at","updated_at"
1,"レディース","0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"メンズ","0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"ベビー・キッズ","0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"インテリア・住まい・小物","0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"本・音楽・ゲーム","0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"おもちゃ・ホビー・グッズ","0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"コスメ・香水・美容","0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"家電・スマホ・カメラ","0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"スポーツ・レジャー","0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"ハンドメイド","0000-00-00 00:00:00","0000-00-00 00:00:00"
11,"チケット","0000-00-00 00:00:00","0000-00-00 00:00:00"
12,"自転車・オートバイ","0000-00-00 00:00:00","0000-00-00 00:00:00"
13,"その他","0000-00-00 00:00:00","0000-00-00 00:00:00"
