id,"prefecture","created_at","updated_at"
1,"北海道","2019-05-30 13:44:39","2019-05-30 13:44:39"
2,"青森県","2019-05-30 13:44:39","2019-05-30 13:44:39"
3,"岩手県","2019-05-30 13:44:39","2019-05-30 13:44:39"
4,"宮城県","2019-05-30 13:44:39","2019-05-30 13:44:39"
5,"秋田県","2019-05-30 13:44:39","2019-05-30 13:44:39"
6,"山形県","2019-05-30 13:44:39","2019-05-30 13:44:39"
7,"福島県","2019-05-30 13:44:39","2019-05-30 13:44:39"
8,"茨城県","2019-05-30 13:44:39","2019-05-30 13:44:39"
9,"栃木県","2019-05-30 13:44:39","2019-05-30 13:44:39"
10,"群馬県","2019-05-30 13:44:39","2019-05-30 13:44:39"
11,"埼玉県","2019-05-30 13:44:39","2019-05-30 13:44:39"
12,"千葉県","2019-05-30 13:44:39","2019-05-30 13:44:39"
13,"東京都","2019-05-30 13:44:39","2019-05-30 13:44:39"
14,"神奈川県","2019-05-30 13:44:39","2019-05-30 13:44:39"
15,"新潟県","2019-05-30 13:44:39","2019-05-30 13:44:39"
16,"富山県","2019-05-30 13:44:39","2019-05-30 13:44:39"
17,"石川県","2019-05-30 13:44:39","2019-05-30 13:44:39"
18,"福井県","2019-05-30 13:44:39","2019-05-30 13:44:39"
19,"山梨県","2019-05-30 13:44:39","2019-05-30 13:44:39"
20,"長野県","2019-05-30 13:44:39","2019-05-30 13:44:39"
21,"岐阜県","2019-05-30 13:44:39","2019-05-30 13:44:39"
22,"静岡県","2019-05-30 13:44:39","2019-05-30 13:44:39"
23,"愛知県","2019-05-30 13:44:39","2019-05-30 13:44:39"
24,"三重県","2019-05-30 13:44:39","2019-05-30 13:44:39"
25,"滋賀県","2019-05-30 13:44:39","2019-05-30 13:44:39"
26,"京都府","2019-05-30 13:44:39","2019-05-30 13:44:39"
27,"大阪府","2019-05-30 13:44:39","2019-05-30 13:44:39"
28,"兵庫県","2019-05-30 13:44:39","2019-05-30 13:44:39"
29,"奈良県","2019-05-30 13:44:39","2019-05-30 13:44:39"
30,"和歌山県","2019-05-30 13:44:39","2019-05-30 13:44:39"
31,"鳥取県","2019-05-30 13:44:39","2019-05-30 13:44:39"
32,"島根県","2019-05-30 13:44:39","2019-05-30 13:44:39"
33,"岡山県","2019-05-30 13:44:39","2019-05-30 13:44:39"
34,"広島県","2019-05-30 13:44:39","2019-05-30 13:44:39"
35,"山口県","2019-05-30 13:44:39","2019-05-30 13:44:39"
36,"徳島県","2019-05-30 13:44:39","2019-05-30 13:44:39"
37,"香川県","2019-05-30 13:44:39","2019-05-30 13:44:39"
38,"愛媛県","2019-05-30 13:44:39","2019-05-30 13:44:39"
39,"高知県","2019-05-30 13:44:39","2019-05-30 13:44:39"
40,"福岡県","2019-05-30 13:44:39","2019-05-30 13:44:39"
41,"佐賀県","2019-05-30 13:44:39","2019-05-30 13:44:39"
42,"長崎県","2019-05-30 13:44:39","2019-05-30 13:44:39"
43,"熊本県","2019-05-30 13:44:39","2019-05-30 13:44:39"
44,"大分県","2019-05-30 13:44:39","2019-05-30 13:44:39"
45,"宮崎県","2019-05-30 13:44:39","2019-05-30 13:44:39"
46,"鹿児島県","2019-05-30 13:44:39","2019-05-30 13:44:39"
47,"沖縄県","2019-05-30 13:44:39","2019-05-30 13:44:39"
52,"北海道","2019-05-30 16:33:47","2019-05-30 16:33:47"
53,"青森県","2019-05-30 16:33:47","2019-05-30 16:33:47"
54,"岩手県","2019-05-30 16:33:47","2019-05-30 16:33:47"
55,"宮城県","2019-05-30 16:33:47","2019-05-30 16:33:47"
56,"秋田県","2019-05-30 16:33:47","2019-05-30 16:33:47"
57,"山形県","2019-05-30 16:33:47","2019-05-30 16:33:47"
58,"福島県","2019-05-30 16:33:47","2019-05-30 16:33:47"
59,"茨城県","2019-05-30 16:33:47","2019-05-30 16:33:47"
60,"栃木県","2019-05-30 16:33:47","2019-05-30 16:33:47"
61,"群馬県","2019-05-30 16:33:47","2019-05-30 16:33:47"
62,"埼玉県","2019-05-30 16:33:47","2019-05-30 16:33:47"
63,"千葉県","2019-05-30 16:33:47","2019-05-30 16:33:47"
64,"東京都","2019-05-30 16:33:47","2019-05-30 16:33:47"
65,"神奈川県","2019-05-30 16:33:47","2019-05-30 16:33:47"
66,"新潟県","2019-05-30 16:33:47","2019-05-30 16:33:47"
67,"富山県","2019-05-30 16:33:47","2019-05-30 16:33:47"
68,"石川県","2019-05-30 16:33:47","2019-05-30 16:33:47"
69,"福井県","2019-05-30 16:33:47","2019-05-30 16:33:47"
70,"山梨県","2019-05-30 16:33:47","2019-05-30 16:33:47"
71,"長野県","2019-05-30 16:33:47","2019-05-30 16:33:47"
72,"岐阜県","2019-05-30 16:33:47","2019-05-30 16:33:47"
73,"静岡県","2019-05-30 16:33:47","2019-05-30 16:33:47"
