id,second_category_id,third_category,created_at,updated_at
1,1,Tシャツ/カットソー(半袖/袖なし),0000-00-00 00:00:00,0000-00-00 00:00:00
2,1,Tシャツ/カットソー(七分/長袖),0000-00-00 00:00:00,0000-00-00 00:00:00
3,1,シャツ/ブラウス(半袖/袖なし),0000-00-00 00:00:00,0000-00-00 00:00:00
4,1,シャツ/ブラウス(半袖/袖なし),0000-00-00 00:00:00,0000-00-00 00:00:00
5,1,ポロシャツ,0000-00-00 00:00:00,0000-00-00 00:00:00
6,1,キャミソール,0000-00-00 00:00:00,0000-00-00 00:00:00
7,1,タンクトップ,0000-00-00 00:00:00,0000-00-00 00:00:00
8,1,ホルターネック,0000-00-00 00:00:00,0000-00-00 00:00:00
9,1,ニット/セーター,0000-00-00 00:00:00,0000-00-00 00:00:00
10,1,チュニック,0000-00-00 00:00:00,0000-00-00 00:00:00
11,1,カーディガン/ボレロ,0000-00-00 00:00:00,0000-00-00 00:00:00
12,1,ベスト/ジレ,0000-00-00 00:00:00,0000-00-00 00:00:00
13,1,パーカー,0000-00-00 00:00:00,0000-00-00 00:00:00
14,1,トレーナー/スウェット,0000-00-00 00:00:00,0000-00-00 00:00:00
15,1,ベアトップ/チューブトップ,0000-00-00 00:00:00,0000-00-00 00:00:00
16,1,ジャージ,0000-00-00 00:00:00,0000-00-00 00:00:00
17,1,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
18,2,テーラードジャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
19,2,ノーカラージャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
20,2,Gジャン/デニムジャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
21,2,レザージャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
22,2,ダウンジャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
23,2,ライダースジャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
24,2,ミリタリージャケット,0000-00-00 00:00:00,0000-00-00 00:00:00
25,2,ダウンベスト,0000-00-00 00:00:00,0000-00-00 00:00:00
26,2,ジャンパー/ブルゾン,0000-00-00 00:00:00,0000-00-00 00:00:00
27,2,ポンチョ,0000-00-00 00:00:00,0000-00-00 00:00:00
28,2,トレンチコート,0000-00-00 00:00:00,0000-00-00 00:00:00
29,2,ダッフルコート,0000-00-00 00:00:00,0000-00-00 00:00:00
30,2,ピーコート,0000-00-00 00:00:00,0000-00-00 00:00:00
31,2,チェスターコート,0000-00-00 00:00:00,0000-00-00 00:00:00
32,2,モッズコート,0000-00-00 00:00:00,0000-00-00 00:00:00
33,2,スタジャン,2019-06-07 12:08:42,2019-06-07 12:08:42
34,2,毛皮/ファーコート,2019-06-07 12:08:42,2019-06-07 12:08:42
35,2,スプリングコート,2019-06-07 12:08:42,2019-06-07 12:08:42
36,2,スカジャン,2019-06-07 12:08:42,2019-06-07 12:08:42
37,2,その他,2019-06-07 12:08:42,2019-06-07 12:08:42
38,3,デニム/ジーンズ,2019-06-07 12:08:42,2019-06-07 12:08:42
39,3,ショートパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
40,3,カジュアルパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
41,3,ハーフパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
42,3,チノパン,2019-06-07 12:08:42,2019-06-07 12:08:42
43,3,ワークパンツ/カーゴパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
44,3,クロップドパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
45,3,サロペット/オーバーオール,2019-06-07 12:08:42,2019-06-07 12:08:42
46,3,オールインワン,2019-06-07 12:08:42,2019-06-07 12:08:42
47,3,サルエルパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
48,3,ガウチョパンツ,2019-06-07 12:08:42,2019-06-07 12:08:42
49,3,その他,2019-06-07 12:08:42,2019-06-07 12:08:42
50,4,ミニスカート,2019-06-07 12:08:42,2019-06-07 12:08:42
51,4,ひざ丈スカート,2019-06-07 12:08:42,2019-06-07 12:08:42
52,4,ロングスカート,2019-06-07 12:08:42,2019-06-07 12:08:42
53,4,キュロット,2019-06-07 12:08:42,2019-06-07 12:08:42
54,4,その他,2019-06-07 12:08:42,2019-06-07 12:08:42
55,5,ミニワンピース,2019-06-07 12:08:42,2019-06-07 12:08:42
56,5,ひざ丈ワンピース,2019-06-07 12:08:42,2019-06-07 12:08:42
57,5,ロングワンピース,2019-06-07 12:08:42,2019-06-07 12:08:42
58,5,その他,2019-06-07 12:08:42,2019-06-07 12:08:42
59,6,ハイヒール/パンプス,2019-06-07 12:08:42,2019-06-07 12:08:42
60,6,ブーツ,2019-06-07 12:08:42,2019-06-07 12:08:42
61,6,サンダル,2019-06-07 12:08:42,2019-06-07 12:08:42
62,6,スニーカー,2019-06-07 12:08:42,2019-06-07 12:08:42
63,6,ミュール,2019-06-07 12:08:42,2019-06-07 12:08:42
64,6,モカシン,2019-06-07 12:08:42,2019-06-07 12:08:42
65,6,ローファー/革靴,0000-00-00 00:00:00,0000-00-00 00:00:00
66,6,フラットシューズ/バレエシューズ,0000-00-00 00:00:00,0000-00-00 00:00:00
67,6,長靴/レインシューズ,0000-00-00 00:00:00,0000-00-00 00:00:00
68,6,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
69,7,パジャマ,0000-00-00 00:00:00,0000-00-00 00:00:00
70,7,ルームウェア,0000-00-00 00:00:00,0000-00-00 00:00:00
71,8,ソックス,0000-00-00 00:00:00,0000-00-00 00:00:00
72,8,スパッツ/レギンス,0000-00-00 00:00:00,0000-00-00 00:00:00
73,8,ストッキング/タイツ,0000-00-00 00:00:00,0000-00-00 00:00:00
74,8,レッグウォーマー,0000-00-00 00:00:00,0000-00-00 00:00:00
75,8,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
76,9,ニットキャップ/ビーニー,0000-00-00 00:00:00,0000-00-00 00:00:00
77,9,ハット,0000-00-00 00:00:00,0000-00-00 00:00:00
78,9,ハンチング/ベレー帽,0000-00-00 00:00:00,0000-00-00 00:00:00
79,9,キャップ,0000-00-00 00:00:00,0000-00-00 00:00:00
80,9,キャスケット,0000-00-00 00:00:00,0000-00-00 00:00:00
81,9,麦わら帽子,0000-00-00 00:00:00,0000-00-00 00:00:00
82,9,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
83,10,ハンドバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
84,10,トートバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
85,10,エコバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
86,10,リュック/バックパック,0000-00-00 00:00:00,0000-00-00 00:00:00
87,10,ボストンバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
88,10,スポーツバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
89,10,ショルダーバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
90,10,クラッチバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
91,10,ポーチ/バニティ,0000-00-00 00:00:00,0000-00-00 00:00:00
92,10,ボディバッグ/ウエストバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
93,10,マザーズバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
94,10,メッセンジャーバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
95,10,ビジネスバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
96,10,旅行用バッグ/キャリーバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
97,10,ショップ袋,0000-00-00 00:00:00,0000-00-00 00:00:00
98,10,和装用バッグかごバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
99,10,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
100,11,ネックレス,0000-00-00 00:00:00,0000-00-00 00:00:00
101,11,ブレスレット,0000-00-00 00:00:00,0000-00-00 00:00:00
102,11,バングル/リストバンド,0000-00-00 00:00:00,0000-00-00 00:00:00
103,11,リング,0000-00-00 00:00:00,0000-00-00 00:00:00
104,11,ピアス(片耳用),0000-00-00 00:00:00,0000-00-00 00:00:00
105,11,ピアス(両耳用),0000-00-00 00:00:00,0000-00-00 00:00:00
106,11,イヤリング,0000-00-00 00:00:00,0000-00-00 00:00:00
107,11,アンクレット,0000-00-00 00:00:00,0000-00-00 00:00:00
108,11,ブローチ/コサージュ,0000-00-00 00:00:00,0000-00-00 00:00:00
109,11,チャーム,0000-00-00 00:00:00,0000-00-00 00:00:00
110,11,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
111,12,ヘアゴム/シュシュ,0000-00-00 00:00:00,0000-00-00 00:00:00
112,12,ヘアバンド/カチューシャ,0000-00-00 00:00:00,0000-00-00 00:00:00
113,12,ヘアピン,0000-00-00 00:00:00,0000-00-00 00:00:00
114,12,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
115,13,長財布,0000-00-00 00:00:00,0000-00-00 00:00:00
116,13,折り財布,0000-00-00 00:00:00,0000-00-00 00:00:00
117,13,コインケース/小銭入れ,0000-00-00 00:00:00,0000-00-00 00:00:00
118,13,名刺入れ/定期入れ,0000-00-00 00:00:00,0000-00-00 00:00:00
119,13,キーケース,0000-00-00 00:00:00,0000-00-00 00:00:00
120,13,キーホルダー,0000-00-00 00:00:00,0000-00-00 00:00:00
121,13,手袋/アームカバー,0000-00-00 00:00:00,0000-00-00 00:00:00
122,13,ハンカチ,0000-00-00 00:00:00,0000-00-00 00:00:00
123,13,ベルト,0000-00-00 00:00:00,0000-00-00 00:00:00
124,13,マフラー/ショール,0000-00-00 00:00:00,0000-00-00 00:00:00
125,13,ストール/スヌード,0000-00-00 00:00:00,0000-00-00 00:00:00
126,13,バンダナ/スカーフ,0000-00-00 00:00:00,0000-00-00 00:00:00
127,13,ネックウォーマー,0000-00-00 00:00:00,0000-00-00 00:00:00
128,13,サスペンダー,0000-00-00 00:00:00,0000-00-00 00:00:00
129,13,サングラス/メガネ,0000-00-00 00:00:00,0000-00-00 00:00:00
130,13,モバイルケース/カバー,0000-00-00 00:00:00,0000-00-00 00:00:00
131,13,手帳,0000-00-00 00:00:00,0000-00-00 00:00:00
132,13,イヤマフラー,0000-00-00 00:00:00,0000-00-00 00:00:00
133,13,傘,0000-00-00 00:00:00,0000-00-00 00:00:00
134,13,レインコート/ポンチョ,0000-00-00 00:00:00,0000-00-00 00:00:00
135,13,ミラー,0000-00-00 00:00:00,0000-00-00 00:00:00
136,13,タバコグッズ,0000-00-00 00:00:00,0000-00-00 00:00:00
137,13,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
138,14,腕時計(アナログ),0000-00-00 00:00:00,0000-00-00 00:00:00
139,14,腕時計(デジタル),0000-00-00 00:00:00,0000-00-00 00:00:00
140,14,ラバーベルト,0000-00-00 00:00:00,0000-00-00 00:00:00
141,14,レザーベルト,0000-00-00 00:00:00,0000-00-00 00:00:00
142,14,金属ベルト,0000-00-00 00:00:00,0000-00-00 00:00:00
143,14,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
144,15,前髪ウィッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
145,15,ロングストレート,0000-00-00 00:00:00,0000-00-00 00:00:00
146,15,ロングカール,0000-00-00 00:00:00,0000-00-00 00:00:00
147,15,ショートストレート,0000-00-00 00:00:00,0000-00-00 00:00:00
148,15,ショートカール,0000-00-00 00:00:00,0000-00-00 00:00:00
149,15,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
150,16,浴衣,0000-00-00 00:00:00,0000-00-00 00:00:00
151,16,着物,0000-00-00 00:00:00,0000-00-00 00:00:00
152,16,振袖,0000-00-00 00:00:00,0000-00-00 00:00:00
153,16,長襦袢/半襦袢,0000-00-00 00:00:00,0000-00-00 00:00:00
154,16,水着セパレート,0000-00-00 00:00:00,0000-00-00 00:00:00
155,16,水着ワンピース,0000-00-00 00:00:00,0000-00-00 00:00:00
156,16,水着スポーツ用,0000-00-00 00:00:00,0000-00-00 00:00:00
157,16,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
158,17,スカートスーツ上下,0000-00-00 00:00:00,0000-00-00 00:00:00
159,17,パンツスーツ上下,0000-00-00 00:00:00,0000-00-00 00:00:00
160,17,ドレス,0000-00-00 00:00:00,0000-00-00 00:00:00
161,17,パーティーバッグ,0000-00-00 00:00:00,0000-00-00 00:00:00
162,17,シューズ,0000-00-00 00:00:00,0000-00-00 00:00:00
163,17,ウェディング,0000-00-00 00:00:00,0000-00-00 00:00:00
164,17,その他,0000-00-00 00:00:00,0000-00-00 00:00:00
